ID	Accession	Dataset	Genome assembly	Output type	Technical replicates	Biological replicates	Download URL	linecount
/files/ENCFF031LBW/	ENCFF031LBW	/experiments/ENCSR313VZG/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF031LBW/@@download/ENCFF031LBW.bed.gz	3551
/files/ENCFF031NWJ/	ENCFF031NWJ	/experiments/ENCSR475SOC/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF031NWJ/@@download/ENCFF031NWJ.bed.gz	300000
/files/ENCFF031WEU/	ENCFF031WEU	/experiments/ENCSR506KWJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF031WEU/@@download/ENCFF031WEU.bed.gz	300000
/files/ENCFF032BJW/	ENCFF032BJW	/experiments/ENCSR000DVQ/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF032BJW/@@download/ENCFF032BJW.bed.gz	48136
/files/ENCFF032CZR/	ENCFF032CZR	/experiments/ENCSR210MET/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF032CZR/@@download/ENCFF032CZR.bed.gz	13960
/files/ENCFF032IPA/	ENCFF032IPA	/experiments/ENCSR854ORP/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF032IPA/@@download/ENCFF032IPA.bed.gz	3507
/files/ENCFF032OFJ/	ENCFF032OFJ	/experiments/ENCSR807LQP/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF032OFJ/@@download/ENCFF032OFJ.bed.gz	300000
/files/ENCFF032UMW/	ENCFF032UMW	/experiments/ENCSR000EZX/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF032UMW/@@download/ENCFF032UMW.bed.gz	5002
/files/ENCFF033PLJ/	ENCFF033PLJ	/experiments/ENCSR000BIB/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF033PLJ/@@download/ENCFF033PLJ.bed.gz	12290
/files/ENCFF034KUO/	ENCFF034KUO	/experiments/ENCSR868JLS/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF034KUO/@@download/ENCFF034KUO.bed.gz	6572
/files/ENCFF034OSV/	ENCFF034OSV	/experiments/ENCSR785OKZ/	GRCh38	optimal idr thresholded peaks	3_1,4_1	3,4	/files/ENCFF034OSV/@@download/ENCFF034OSV.bed.gz	19716
/files/ENCFF035GFS/	ENCFF035GFS	/experiments/ENCSR439WAF/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF035GFS/@@download/ENCFF035GFS.bed.gz	6443
/files/ENCFF035KRS/	ENCFF035KRS	/experiments/ENCSR381VYR/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF035KRS/@@download/ENCFF035KRS.bed.gz	300000
/files/ENCFF035VLB/	ENCFF035VLB	/experiments/ENCSR542WJU/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF035VLB/@@download/ENCFF035VLB.bed.gz	300000
/files/ENCFF035YWE/	ENCFF035YWE	/experiments/ENCSR000EDW/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF035YWE/@@download/ENCFF035YWE.bed.gz	33694
/files/ENCFF035ZFO/	ENCFF035ZFO	/experiments/ENCSR754MUD/	GRCh38	optimal idr thresholded peaks	2_1,3_1	2,3	/files/ENCFF035ZFO/@@download/ENCFF035ZFO.bed.gz	35351
/files/ENCFF036AEX/	ENCFF036AEX	/experiments/ENCSR289NSN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF036AEX/@@download/ENCFF036AEX.bed.gz	1686
/files/ENCFF036WLT/	ENCFF036WLT	/experiments/ENCSR632SHZ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF036WLT/@@download/ENCFF036WLT.bed.gz	300000
/files/ENCFF038IVP/	ENCFF038IVP	/experiments/ENCSR000BJW/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF038IVP/@@download/ENCFF038IVP.bed.gz	300000
/files/ENCFF038QYZ/	ENCFF038QYZ	/experiments/ENCSR000EHO/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF038QYZ/@@download/ENCFF038QYZ.bed.gz	300000
/files/ENCFF039CUI/	ENCFF039CUI	/experiments/ENCSR315JJE/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF039CUI/@@download/ENCFF039CUI.bed.gz	25097
/files/ENCFF039LHY/	ENCFF039LHY	/experiments/ENCSR247XFV/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF039LHY/@@download/ENCFF039LHY.bed.gz	2902
/files/ENCFF039UZO/	ENCFF039UZO	/experiments/ENCSR000DYQ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF039UZO/@@download/ENCFF039UZO.bed.gz	300000
/files/ENCFF039XQE/	ENCFF039XQE	/experiments/ENCSR086FZL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF039XQE/@@download/ENCFF039XQE.bed.gz	300000
/files/ENCFF039YAY/	ENCFF039YAY	/experiments/ENCSR711VWL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF039YAY/@@download/ENCFF039YAY.bed.gz	300000
/files/ENCFF040QBG/	ENCFF040QBG	/experiments/ENCSR363XBR/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF040QBG/@@download/ENCFF040QBG.bed.gz	300000
/files/ENCFF040TDG/	ENCFF040TDG	/experiments/ENCSR000EEI/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF040TDG/@@download/ENCFF040TDG.bed.gz	300000
/files/ENCFF040XAI/	ENCFF040XAI	/experiments/ENCSR000DZI/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF040XAI/@@download/ENCFF040XAI.bed.gz	300000
/files/ENCFF041BSX/	ENCFF041BSX	/experiments/ENCSR459FTB/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041BSX/@@download/ENCFF041BSX.bed.gz	300000
/files/ENCFF041RZO/	ENCFF041RZO	/experiments/ENCSR494UQJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041RZO/@@download/ENCFF041RZO.bed.gz	300000
/files/ENCFF041SZY/	ENCFF041SZY	/experiments/ENCSR000BIJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041SZY/@@download/ENCFF041SZY.bed.gz	300000
/files/ENCFF041UZM/	ENCFF041UZM	/experiments/ENCSR000BHJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041UZM/@@download/ENCFF041UZM.bed.gz	300000
/files/ENCFF041VJQ/	ENCFF041VJQ	/experiments/ENCSR754SOI/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF041VJQ/@@download/ENCFF041VJQ.bed.gz	300000
/files/ENCFF042AWM/	ENCFF042AWM	/experiments/ENCSR234VCE/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF042AWM/@@download/ENCFF042AWM.bed.gz	22581
/files/ENCFF042CMN/	ENCFF042CMN	/experiments/ENCSR889GGV/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF042CMN/@@download/ENCFF042CMN.bed.gz	300000
/files/ENCFF042FXY/	ENCFF042FXY	/experiments/ENCSR799GOY/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF042FXY/@@download/ENCFF042FXY.bed.gz	300000
/files/ENCFF042OZE/	ENCFF042OZE	/experiments/ENCSR706BJO/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF042OZE/@@download/ENCFF042OZE.bed.gz	27201
/files/ENCFF043HHG/	ENCFF043HHG	/experiments/ENCSR138SFL/	GRCh38	optimal idr thresholded peaks	1_1,3_1	1,3	/files/ENCFF043HHG/@@download/ENCFF043HHG.bed.gz	411
/files/ENCFF043QFM/	ENCFF043QFM	/experiments/ENCSR804HMZ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF043QFM/@@download/ENCFF043QFM.bed.gz	300000
/files/ENCFF044DFE/	ENCFF044DFE	/experiments/ENCSR000ECQ/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF044DFE/@@download/ENCFF044DFE.bed.gz	75
/files/ENCFF044HQV/	ENCFF044HQV	/experiments/ENCSR528PSI/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF044HQV/@@download/ENCFF044HQV.bed.gz	300000
/files/ENCFF045FIY/	ENCFF045FIY	/experiments/ENCSR020UPN/	GRCh38	optimal idr thresholded peaks	2_1,3_1	2,3	/files/ENCFF045FIY/@@download/ENCFF045FIY.bed.gz	13731
/files/ENCFF045KYK/	ENCFF045KYK	/experiments/ENCSR000EFT/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF045KYK/@@download/ENCFF045KYK.bed.gz	300000
/files/ENCFF045YGV/	ENCFF045YGV	/experiments/ENCSR711UOA/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF045YGV/@@download/ENCFF045YGV.bed.gz	2461
/files/ENCFF046BRP/	ENCFF046BRP	/experiments/ENCSR389BLX/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF046BRP/@@download/ENCFF046BRP.bed.gz	2974
/files/ENCFF046HDT/	ENCFF046HDT	/experiments/ENCSR446LAV/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF046HDT/@@download/ENCFF046HDT.bed.gz	300000
/files/ENCFF046NUR/	ENCFF046NUR	/experiments/ENCSR066FXN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF046NUR/@@download/ENCFF046NUR.bed.gz	2684
/files/ENCFF046ODH/	ENCFF046ODH	/experiments/ENCSR571PDN/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF046ODH/@@download/ENCFF046ODH.bed.gz	12086
/files/ENCFF047AWC/	ENCFF047AWC	/experiments/ENCSR033NQK/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF047AWC/@@download/ENCFF047AWC.bed.gz	300000
/files/ENCFF047UIF/	ENCFF047UIF	/experiments/ENCSR000DYI/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF047UIF/@@download/ENCFF047UIF.bed.gz	47003
/files/ENCFF048AYA/	ENCFF048AYA	/experiments/ENCSR815ZDS/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF048AYA/@@download/ENCFF048AYA.bed.gz	300000
